name,shape,d_in,bf_in,tw_in,tf_in,kdes_in,A_in2,mass_lbft,Ix_in4,Sx_in3,Zx_in3,rx_in,Iy_in4,Sy_in3,Zy_in3,ry_in
W27X368,I,30.4,14.7,1.38,2.48,3.27,109,368,16200,1060,1240,12.2,1310,179,279,3.48
W27X336,I,30,14.6,1.26,2.28,3.07,99.2,336,14600,972,1130,12.1,1180,162,252,3.45
W27X307,I,29.6,14.4,1.16,2.09,2.88,90.2,307,13100,887,1030,12,1050,146,227,3.41
W27X281,I,29.3,14.4,1.06,1.93,2.72,83.1,281,11900,814,936,12,953,133,206,3.39
W27X258,I,29,14.3,0.98,1.77,2.56,76.1,258,10800,745,852,11.9,859,120,187,3.36
W27X235,I,28.7,14.2,0.91,1.61,2.4,69.4,235,9700,677,772,11.8,769,108,168,3.33
W27X217,I,28.4,14.1,0.83,1.5,2.29,63.9,217,8910,627,711,11.8,704,100,154,3.32
W27X194,I,28.1,14,0.75,1.34,2.13,57.1,194,7860,559,631,11.7,619,88.1,136,3.29
W27X178,I,27.8,14.1,0.725,1.19,1.98,52.5,178,7020,505,570,11.6,555,78.8,122,3.25
W27X161,I,27.6,14,0.66,1.08,1.87,47.6,161,6310,458,515,11.5,497,70.9,109,3.23
W27X146,I,27.4,14,0.605,0.975,1.76,43.2,146,5660,414,464,11.5,443,63.5,97.7,3.2
W27X129,I,27.6,10,0.61,1.1,1.7,37.8,129,4760,345,395,11.2,184,36.8,57.6,2.21
W27X114,I,27.3,10.1,0.57,0.93,1.53,33.6,114,4080,299,343,11,159,31.5,49.3,2.18
W27X102,I,27.1,10,0.515,0.83,1.43,30,102,3620,267,305,11,139,27.8,43.4,2.15
W27X94,I,26.9,10,0.49,0.745,1.34,27.6,94,3270,243,278,10.9,124,24.8,38.8,2.12
W27X84,I,26.7,10,0.46,0.64,1.24,24.7,84,2850,213,244,10.7,106,21.2,33.2,2.07
W24X370,I,28,13.7,1.52,2.72,3.22,109,370,13400,957,1130,11.1,1160,170,267,3.27
W24X335,I,27.5,13.5,1.38,2.48,2.98,98.3,335,11900,864,1020,11,1030,152,238,3.23
W24X306,I,27.1,13.4,1.26,2.28,2.78,89.7,306,10700,789,922,10.9,919,137,214,3.2
W24X279,I,26.7,13.3,1.16,2.09,2.59,81.9,279,9600,718,835,10.8,823,124,193,3.17
W24X250,I,26.3,13.2,1.04,1.89,2.39,73.5,250,8490,644,744,10.7,724,110,171,3.14
W24X229,I,26,13.1,0.96,1.73,2.23,67.2,229,7650,588,675,10.7,651,99.4,154,3.11
W24X207,I,25.7,13,0.87,1.57,2.07,60.7,207,6820,531,606,10.6,578,88.8,137,3.08
W24X192,I,25.5,13,0.81,1.46,1.96,56.5,192,6260,491,559,10.5,530,81.8,126,3.07
W24X176,I,25.2,12.9,0.75,1.34,1.84,51.7,176,5680,450,511,10.5,479,74.3,115,3.04
W24X162,I,25,13,0.705,1.22,1.72,47.8,162,5170,414,468,10.4,443,68.4,105,3.05
W24X146,I,24.7,12.9,0.65,1.09,1.59,43,146,4580,371,418,10.3,391,60.5,93.2,3.01
W24X131,I,24.5,12.9,0.605,0.96,1.46,38.6,131,4020,329,370,10.2,340,53,81.5,2.97
W24X117,I,24.3,12.8,0.55,0.85,1.35,34.4,117,3540,291,327,10.1,297,46.5,71.4,2.94
W24X104,I,24.1,12.8,0.5,0.75,1.25,30.7,104,3100,258,289,10.1,259,40.7,62.4,2.91
W24X103,I,24.5,9,0.55,0.98,1.48,30.3,103,3000,245,280,10,119,26.5,41.5,1.99
W24X94,I,24.3,9.07,0.515,0.875,1.38,27.7,94,2700,222,254,9.87,109,24,37.5,1.98
W24X84,I,24.1,9.02,0.47,0.77,1.27,24.7,84,2370,196,224,9.79,94.4,20.9,32.6,1.95
W24X76,I,23.9,8.99,0.44,0.68,1.18,22.4,76,2100,176,200,9.69,82.5,18.4,28.6,1.92
W24X68,I,23.7,8.97,0.415,0.585,1.09,20.1,68,1830,154,177,9.55,70.4,15.7,24.5,1.87
